product_name,price,rating,review_count,url,score
"Samsung 85"" U7900F Series 4K UHD HDR LED Tizen Smart TV (UN85U7900FFXZC) - 2025",1299.99,4.82,22,/en-ca/product/samsung-85-u7900f-series-4k-uhd-hdr-led-tizen-smart-tv-un85u7900ffxzc-2025/19204871,11.692
"TCL QM7K-Series 55"" QM7K Series 4K UHD HDR QD-Mini LED Smart Google TV (55QM7K) - 2025",899.99,4.41,22,/en-ca/product/tcl-qm7k-series-55-qm7k-series-4k-uhd-hdr-qd-mini-led-smart-google-tv-55qm7k-2025/18984524,11.446000000000002
"Hisense 43"" 4K UHD HDR LED Roku Smart TV (43R63N) - 2024",289.99,4.36,22,/en-ca/product/hisense-43-4k-uhd-hdr-led-roku-smart-tv-43r63n-2024/17731993,11.416
"Sony BRAVIA 8 II 65"" XR80M2 Series 4K UHD HDR OLED Smart Google TV (K65XR80M2) - 2025",4499.99,4.9,20,/en-ca/product/sony-bravia-8-ii-65-xr80m2-series-4k-uhd-hdr-oled-smart-google-tv-k65xr80m2-2025/19254956,10.94
"Portable 4K Mini Projector with 300 Lumens Built-in Apps, Auto Keystone, Full HD 1080P Support, 180° Rotation, Works with TV Sticks, Smartphones, HDMI, and USB - White",139.99,4.75,20,/en-ca/product/portable-4k-mini-projector-with-300-lumens-built-in-apps-auto-keystone-full-hd-1080p-support-180-rotation-works-with-tv-sticks-smartphones-hdmi-and-usb-white/18599479,10.85
"TCL 40"" S-Series 1080p HD HDR LED Roku OS Smart TV (40S350R-CA)",269.99,4.65,20,/en-ca/product/tcl-40-s-series-1080p-hd-hdr-led-roku-os-smart-tv-40s350r-ca/16693225,10.79
"Hisense 58"" 4K UHD HDR LED Roku Smart TV (58R63N) - 2024",449.99,4.5,20,/en-ca/product/hisense-58-4k-uhd-hdr-led-roku-smart-tv-58r63n-2024/17731998,10.7
Roku Streaming Stick HD Media Streamer with Remote,39.99,4.45,20,/en-ca/product/roku-streaming-stick-hd-media-streamer-with-remote/19308960,10.67
"Samsung 75"" 4K UHD HDR QLED Tizen Smart TV (QN75Q6FAAFXZC) - 2025",1096.98,4.63,19,/en-ca/product/samsung-75-4k-uhd-hdr-qled-tizen-smart-tv-qn75q6faafxzc-2025/19206097,10.378
"Samsung 50"" Q7F Series 4K UHD HDR QLED Tizen Smart TV (QN50Q7FAAFXZC) - 2025",599.99,4.41,17,/en-ca/product/samsung-50-q7f-series-4k-uhd-hdr-qled-tizen-smart-tv-qn50q7faafxzc-2025/19206124,9.446000000000002
